id_depatamento,departamento,id_municipio,municipio,id_localidad,localidad,ano_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_de_demanda_maxima,fecha_de_demanda_maxima,promedio_diario_en_horas
52.0,narino,52390.0,la_tola,52390013.0,amarales_(la_tola_-_narino),2020.0,8.0,10887.0,2962.0,62.5,jueves,08/13/2020_07:00:00_pm,7.15
52.0,narino,52390.0,la_tola,52390003.0,la_vigia_de_la_mar_(la_tola_-_narino),2020.0,8.0,6231.0,3462.0,30.2,domingo,08/09/2020_06:30:00_pm,8.39
52.0,narino,52390.0,la_tola,52390009.0,mulatos_(la_tola_-_narino),2020.0,8.0,4135.0,2263.0,35.49,lunes,08/31/2020_06:30:00_pm,6.18
52.0,narino,52390.0,la_tola,52390016.0,san_pablo_del_mar_(la_tola_-_narino),2020.0,8.0,4903.0,1182.0,27.71,sabado,08/22/2020_06:00:00_pm,6.54
52.0,narino,52490.0,olaya_herrera,52490913.0,boca_de_prieta_(olaya_herrera_-_narino),2020.0,8.0,5032.0,1194.0,23.47,miercoles,08/05/2020_07:00:00_pm,8.19
52.0,narino,52490.0,olaya_herrera,52490008.0,san_jose_calabazal_(olaya_herrera_-_narino),2020.0,8.0,5292.0,1658.0,46.99,jueves,08/27/2020_09:30:00_pm,5.02
52.0,narino,52835.0,san_andres_de_tumaco,52835055.0,bocas_de_curay_(tumaco_-_narino),2020.0,8.0,7503.0,3406.0,52.8,sabado,08/08/2020_06:15:00_pm,6.01
52.0,narino,52835.0,san_andres_de_tumaco,52835012.0,chajal_(tumaco_-_narino),2020.0,8.0,32722.0,11138.0,134.38,sabado,08/29/2020_07:30:00_pm,9.28
52.0,narino,52835.0,san_andres_de_tumaco,52835016.0,pital_de_la_costa_(tumaco_-_narino),2020.0,8.0,20520.0,12277.0,76.0,sabado,08/29/2020_12:45:00_am,11.7
52.0,narino,52835.0,san_andres_de_tumaco,52835212.0,pueblo_nuevo_(tablon_salado)_(tumaco_-_narino),2020.0,8.0,2479.0,1055.0,17.89,domingo,08/09/2020_11:45:00_pm,6.57
52.0,narino,52835.0,san_andres_de_tumaco,52835217.0,san_juan_de_la_costa_(san_andres_de_tumaco_-_narino),2020.0,8.0,27965.0,22758.0,147.2,sabado,08/08/2020_07:00:00_pm,8.16
52.0,narino,52835.0,san_andres_de_tumaco,52835091.0,santa_rosa_(tumaco_-_narino),2020.0,8.0,4261.0,1343.0,32.99,domingo,08/30/2020_10:15:00_pm,5.37
52.0,narino,52835.0,san_andres_de_tumaco,52835148.0,tablon_dulce_la_pampa_(tumaco_-_narino),2020.0,8.0,3504.0,999.0,26.72,domingo,08/02/2020_09:00:00_pm,5.16
52.0,narino,52696.0,santa_barbara_(iscuande),52696014.0,la_ensenada_(santa_barbara_(iscuande)_-_narino),2020.0,8.0,3093.0,4971.0,22.75,martes,08/25/2020_06:15:00_pm,5.52
52.0,narino,52696.0,santa_barbara_(iscuande),52696017.0,santa_rita_(santa_barbara_(iscuande)_-_narino),2020.0,8.0,5617.0,3029.0,34.72,miercoles,08/05/2020_08:45:00_pm,6.3
86.0,putumayo,86573.0,puerto_leguizamo,86573009.0,pinuna_negro_(puerto_leguizamo_-_putumayo),2020.0,8.0,2963.0,1670.0,22.4,domingo,08/30/2020_08:30:00_pm,5.17
86.0,putumayo,86573.0,puerto_leguizamo,86573000.0,puerto_leguizamo_(puerto_leguizamo_-_putumayo),2020.0,8.0,842324.0,286048.0,1699.02,miercoles,08/19/2020_02:15:00_pm,23.53
91.0,amazonas,91001.0,leticia,91001000.0,leticia_(leticia_-_amazonas),2024.0,8.0,4283903.0,1090190.0,8431.24,viernes,08/23/2024_03:15:00_pm,24.0
